table_row,source_page,condition,activities,activity_indications,execution_units,execution_sites,access_requirements,booking_methods,booking_actors,expected_access_time
1,11,Sospetto o diagnosi di carcinoma della mammella (in tutti i casi),Mammografia / Ecografia mammaria linfonodale / Visita radiologica,,Senologia Diagnostica,,-Impegnativa DEMA del M di MG,,-Prenotazione da parte del CAS / GIC,1 settimana
2,11,,Agobiopsia mammaria o linfonodale su guida ecografica,,Senologia Diagnostica,,-Impegnativa DEMA del M di MG,-Prenotazione diretta o da parte del CAS / GIC,,ENTRO 72 H
3,11,,Biopsia mammaria con guida mammografica su area di microcalcificazioni sospette o distorsione sospetta,,Senologia Diagnostica,,-Impegnativa DEMA del M di MG,,-Prenotazione da parte del CAS / GIC,ENTRO 72 H
4,11,,"Risonanza Magnetica della mammella bilaterale con mdc (stadiazione locale in prima diagnosi, valutazione della risposta al trattamento neoadiuvante)",,Radiologia,Poliambulatorio Statuto o ospedale Koelliker,-Impegnativa DEMA del M di MG,,"-Prenotazione da parte della Senologia Diagnostica, del CAS, del GIC, della Segreteria Ambulatorio Terapie Oncologiche",1-2 settimane
5,11,,"Mammografia con mdc (stadiazione locale in prima diagnosi, valutazione della risposta al trattamento neoadiuvante)",,Senologia Diagnostica,,-Impegnativa DEMA del M di MG,,-Prenotazione da parte del CAS / GIC,1-2 settimane
6,11,,Esame istologico,,Anatomia Patologica,Presidio,-Impegnativa interna o DEMA del M di MG,-Prenotazione diretta dalla Senologia diagnostica o da parte del CAS / GIC,,1 settimana
7,12,,Tipizzazione fenotipica con determinazione fattori prognostici e predittivi (ER PgR HER2 Ki67) in pazienti candidabili a terapia neoadiuvante / primaria,,Anatomia Patologica,Presidio,-Impegnativa interna o DEMA del M di MG,-Prenotazione diretta dalla Senologia diagnostica o da parte del CAS / GIC,,2 settimane
8,12,,Analisi citogenetiche per pazienti candidate a terapia neoadiuvante o su pezzo operatorio (es. FISH per HER2),,Anatomia Patologica,Città della Salute,-Impegnativa interna o DEMA del M di MG,-Prenotazione diretta dalla Senologia diagnostica o da parte del CAS / GIC,,3 settimane
9,12,,Determinazione PDL1 in caso di malattia avanzata triple negative,,Anatomia Patologica,Città della Salute,-Impegnativa DEMA del M di MG,-Prenotazione diretta parte del SC Oncologia,,2 settimane
10,12,,NGS su tessuto per determinazione mutazione PTEN-AKT-PTEN per malattia avanzata luminale dopo inibitore cicline,,Anatomia Patologica,Città della Salute/Osp S Luigi,-Impegnativa DEMA del M di MG,-Prenotazione diretta dalla DH SC Oncologia,,2 settimane
11,12,,Biopsia liquida per ricerca mutazione ESR1 per malattia avanzata luminale,,Anatomia Patologica,Città della Salute/Osp S Luigi,-Impegnativa DEMA del M di MG,-Prenotazione diretta dal DH SC Oncologia,,2 settimane
12,12,Carcinoma della mammella in età ≤ 38 aa,Counselling riproduttivo,,,Osp Sant’Anna FERTISAVE - Osp. Valdese,Impegnativa DEMA del M di MG di visita ginecologica e ecografia TV,Prenotazione diretta tra specialisti o da parte del CAS / GIC o della Segreteria Ambulatorio Terapie Oncologiche,,1 settimana
13,13,Profilassi della funzionalità ovarica con LHRH Analogo mensile,,,SC Oncologia,,,Impegnativa interna da parte del CAS / GIC o della Segreteria Ambulatorio Terapie Oncologiche,,1 settimana
14,13,Carcinoma della mammella in età ≥ 75 aa e G8 <14 ≥ 85 aa,Visita collegiale oncogeriatrica,,SC Oncologia,,DEMA MMG,,,1-2 settimane
15,13,Carcinoma della mammella non palpabile candidato a chirurgia,Posizionamento di repere su guida ecografica o mammografica con cartella prericovero,,Senologia Diagnostica,,Impegnativa interna con apertura cartella,,Prenotazione da parte del CAS / GIC,2-4 settimane
16,13,Carcinoma della mammella candidato a terapia neoadiuvante,Posizionamento di repere su guida ecografica,,Senologia Diagnostica,,Impegnativa interna con apertura cartella DS,,Prenotazione da parte del CAS / GIC,1 settimana
17,13,"Carcinoma della mammella operabile, ad elevato rischio di secondarietà – in presenza di sintomatologia sospetta - se candidato a terapia neoadiuvante / primaria - stadio III o IV",Rx torace Ecografia addome completo In casi selezionati,,SC Radiologia,,Imp DEMA del M di MG,,Prenotazione da parte del CAS / GIC,1 settimana
18,14,,Scintigrafia ossea totale corporea,,Medicina Nucleare,Ospedale Mauriziano,Impegnativa DEMA del M di MG,,"Prenotazione da parte del CAS, del GIC, della Segreteria Ambulatorio Terapie Oncologiche",2-4 settimane
19,14,,TC oncologica di stadiazione con mdc,,SC Radiologia,,Impegnativa DEMA del M di MG,,"Prenotazione da parte del CAS / GIC, della Segreteria Ambulatorio Terapie Oncologiche",1-2 settimane
20,14,"In casi selezionati es.: mastite carcinomatosa, ca infiammatorio, o come esame di II livello di approfondimento in casi non dirimenti agli esami standard",PET-TC totale corporea,,Medicina Nucleare,IRMET Affidea Osp Mauriziano IRCC Candiolo,Impegnativa DEMA del M di MG,,"Prenotazione da parte del CAS, del GIC, della Segreteria Ambulatorio Terapie Oncologiche",1-3 settimane
21,14,In pazienti elegibili a CT adiuvante neoadiuvante primaria di I linea,Ecocardiogramma +/- visita cardiologica,,SC Radiologia,,Impegnativa interna o DEMA del M di MG,,"Prenotazione da parte del CAS / GIC, della Segreteria Ambulatorio Terapie Oncologiche",1-2 settimane
22,14,,Visita anestesiologica e posizionamento CVC,,Day Surgery,,Impegnativa interna o DEMA del M di MG,,"Prenotazione da parte del CAS / GIC, della Segreteria Ambulatorio Terapie Oncologiche",10 gg
